stock|volume|price|dollarChange|pctChange
General Electric (GE)|64701010|$17.59|-0.17|-0.96
Bank of America (BAC)|62318474|29.45|-0.03|-0.10
Twitter (TWTR)|44539746|25.08|0.40|1.62
Sprint (S)|29230084|5.58|-0.02|-0.36
Oracle (ORCL)|26400067|47.82|0.11|0.23
Teva Pharmaceutical Industries ADR (TEVA)|25484925|17.90|-0.62|-3.35
AT&T (T)|24905090|38.05|-0.41|-1.07
McDermott International (MDR)|24328851|6.69|-0.90|-11.86
Platform Specialty Products (PAH)|21995848|10.13|0.24|2.43
CenturyLink (CTL)|21954308|17.40|-0.35|-1.97
Ford Motor (F)|20124114|12.69|0.03|0.24
Vipshop Holdings ADR (VIPS)|20055898|12.01|0.26|2.21
Chesapeake Energy (CHK)|19223823|3.61|-0.08|-2.17
Weatherford International (WFT)|18998293|3.63|0.03|0.83
Alibaba Group Holding ADR (BABA)|18991128|171.28|-2.09|-1.21
Chicago Bridge&Iron (CBI)|18930171|16.01|-1.91|-10.66
Rite Aid (RAD)|18361366|1.93|0.01|0.52
Nabors Industries (NBR)|18050134|6.05|0.33|5.77
Cemex ADR (CX)|17889511|7.40|-0.08|-1.07
Vale ADR (VALE)|17656486|11.56|0.01|0.09
Southwestern Energy (SWN)|17460531|5.18|-0.11|-2.08
Freeport-McMoRan (FCX)|17173531|17.33|-0.02|-0.12
J.C. Penney (JCP)|16931156|3.04|-0.15|-4.70
Citigroup (C)|16771766|74.70|-0.97|-1.28
Wells Fargo (WFC)|16124791|60.36|-0.56|-0.92
Kindred Healthcare (KND)|16055756|9.10|-0.40|-4.21
Marathon Oil (MRO)|14172582|16.02|0.59|3.82
Valeant Pharmaceuticals International (VRX)|13468204|20.86|-0.34|-1.60
Pfizer (PFE)|13456059|36.94|-0.19|-0.51
Oasis Petroleum (OAS)|12987541|7.87|-0.10|-1.25
Spirit Realty Capital (SRC)|12501980|8.67|0.02|0.23
Annaly Capital Management (NLY)|12366670|11.85|-0.33|-2.71
Verizon Communications (VZ)|12064224|52.83|-0.42|-0.79
General Motors (GM)|12043535|42.49|0.34|0.81
Snap (SNAP)|11979979|15.77|-0.33|-2.05
Square Cl A (SQ)|11950452|36.92|-0.83|-2.20
First Data Cl A (FDC)|11755988|16.40|0.14|0.86
CVS Health (CVS)|11684548|72.31|0.64|0.89
